date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
26-09-2024,OTT,BUF,2,3,0,NHL,usa/nhl/ottawa-senators-buffalo-sabres-4hafCtbL/,-164,360
24-09-2024,OTT,TOR,2,1,1,NHL,usa/nhl/ottawa-senators-toronto-maple-leafs-OWxHFF4D/,-134,354
22-09-2024,TOR,OTT,5,6,0,NHL,usa/nhl/toronto-maple-leafs-ottawa-senators-G6Z8Hyz1/,-267,435
16-04-2024,BOS,OTT,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-ottawa-senators-OEHWFG8i/,-135,351
15-04-2024,NYR,OTT,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-ottawa-senators-d8PphDGp/,-134,364
13-04-2024,OTT,MTL,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-montreal-canadiens-l2j10y94/,-101,337
11-04-2024,TB,OTT,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-ottawa-senators-rsLSoxfB/,-109,354
09-04-2024,FLA,OTT,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-ottawa-senators-C2pbWdfO/,-148,367
07-04-2024,WSH,OTT,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/washington-capitals-ottawa-senators-rNhszuea/,107,330
06-04-2024,OTT,NJ,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-new-jersey-devils-hYaUxsBt/,168,332
04-04-2024,OTT,FLA,0,6,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-florida-panthers-4G5FLut6/,196,332
02-04-2024,MIN,OTT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-ottawa-senators-Kn4WoNyL/,114,332
30-03-2024,WPG,OTT,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-ottawa-senators-C47mHBWT/,-123,347
28-03-2024,OTT,CHI,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-chicago-blackhawks-vyLH3h2U/,-111,342
27-03-2024,BUF,OTT,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-ottawa-senators-r9R85EXH/,117,335
24-03-2024,OTT,EDM,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-edmonton-oilers-renziFIO/,249,356
23-03-2024,NJ,OTT,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-ottawa-senators-zPeFew4g/,-101,339
21-03-2024,OTT,STL,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-st-louis-blues-UNGz3LBJ/,117,330
19-03-2024,BOS,OTT,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-ottawa-senators-htrTqt5s/,-134,357
17-03-2024,OTT,CAR,2,7,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-carolina-hurricanes-nsGe2lL8/,291,352
16-03-2024,NYI,OTT,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-ottawa-senators-UkHxnTzS/,-104,338
14-03-2024,CBJ,OTT,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-ottawa-senators-MJQHjiMd/,167,341
12-03-2024,OTT,PIT,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-pittsburgh-penguins-rZheZkiM/,160,323
09-03-2024,SJ,OTT,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-ottawa-senators-2FLswjxi/,281,379
07-03-2024,LAK,OTT,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-ottawa-senators-INsaoEUA/,-126,349
06-03-2024,ANA,OTT,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-ottawa-senators-EydZUhpU/,241,360
02-03-2024,PHI,OTT,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-ottawa-senators-AJitZqul/,117,336
01-03-2024,OTT,ARI,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-arizona-coyotes-QTKTR1pk/,-117,352
27-02-2024,NSH,OTT,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-ottawa-senators-2XfjErGk/,109,337
26-02-2024,WSH,OTT,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/washington-capitals-ottawa-senators-06Z9YC14/,174,335
24-02-2024,OTT,VGK,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-vegas-golden-knights-rca6RqKe/,131,333
22-02-2024,OTT,DAL,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-dallas-stars-0KUSDQkd/,213,340
20-02-2024,FLA,OTT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-ottawa-senators-M5itNUS9/,-169,392
19-02-2024,TB,OTT,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-ottawa-senators-rFhxOAD3/,-112,358
17-02-2024,CHI,OTT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-ottawa-senators-CW1dNwNh/,252,351
15-02-2024,OTT,ANA,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-anaheim-ducks-tE6tN9BC/,-140,376
13-02-2024,OTT,CBJ,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-columbus-blue-jackets-hlYhWDlQ/,-114,353
10-02-2024,OTT,TOR,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-toronto-maple-leafs-pSpnDYsl/,177,339
31-01-2024,DET,OTT,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-ottawa-senators-4flrqfT7/,130,346
29-01-2024,OTT,NSH,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-nashville-predators-Q3kvpzE1/,144,339
27-01-2024,OTT,NYR,2,7,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-new-york-rangers-IwI05ppA/,138,336
25-01-2024,OTT,BOS,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-boston-bruins-UHy6q3Nj/,184,340
23-01-2024,MTL,OTT,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/montreal-canadiens-ottawa-senators-WMgJh704/,192,348
21-01-2024,PHI,OTT,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-ottawa-senators-6XVqXkuc/,104,341
20-01-2024,OTT,WPG,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-winnipeg-jets-G27RE8PS/,190,330
18-01-2024,OTT,MTL,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-montreal-canadiens-nNFAIjQ3/,-114,357
16-01-2024,OTT,COL,4,7,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-colorado-avalanche-YPxl1keT/,152,346
13-01-2024,OTT,SJ,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-san-jose-sharks-IywpqjZp/,-148,375
11-01-2024,BUF,OTT,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-ottawa-senators-db6lfGsn/,121,346
09-01-2024,CGY,OTT,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-ottawa-senators-82RvzDdU/,118,337
06-01-2024,EDM,OTT,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-ottawa-senators-ATS7swbt/,-134,373
04-01-2024,SEA,OTT,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-ottawa-senators-lGVzupxr/,124,333
02-01-2024,VAN,OTT,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-ottawa-senators-WvaAOOi1/,104,344
31-12-2023,OTT,BUF,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-buffalo-sabres-8tztRdd2/,103,352
29-12-2023,OTT,NJ,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-new-jersey-devils-Ozwfz1ZF/,146,343
27-12-2023,TOR,OTT,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-ottawa-senators-xvHOKLZS/,-100,355
23-12-2023,OTT,PIT,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-pittsburgh-penguins-8bTBNNkA/,138,335
21-12-2023,COL,OTT,6,4,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-ottawa-senators-EwLqKlqI/,-110,351
19-12-2023,ARI,OTT,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-ottawa-senators-jazKPhFt/,169,331
17-12-2023,VGK,OTT,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-ottawa-senators-8jN9QGn8/,-112,343
15-12-2023,DAL,OTT,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-ottawa-senators-Ua2zCHXE/,-128,358
14-12-2023,STL,OTT,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/st-louis-blues-ottawa-senators-KUKqkfQ1/,161,341
12-12-2023,OTT,CAR,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-carolina-hurricanes-pWbqEnco/,175,339
09-12-2023,DET,OTT,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-ottawa-senators-nyc7GK1n/,127,342
07-12-2023,OTT,TOR,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-toronto-maple-leafs-jgap1u2a/,166,336
05-12-2023,OTT,NYR,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-new-york-rangers-djtNqvXO/,196,334
02-12-2023,OTT,SEA,2,0,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-seattle-kraken-UPV2l2Ig/,126,336
01-12-2023,CBJ,OTT,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-ottawa-senators-GIkSf4uQ/,207,347
27-11-2023,OTT,FLA,0,5,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-florida-panthers-0nDdX9s2/,174,340
24-11-2023,OTT,NYI,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-new-york-islanders-2HCNKWcd/,120,313
18-11-2023,OTT,MIN,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-minnesota-wild-hIRqJJMi/,147,342
16-11-2023,OTT,DET,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-detroit-red-wings-SzfN1IiH/,121,342
11-11-2023,OTT,CGY,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-calgary-flames-Khuu2Ro0/,111,342
09-11-2023,OTT,VAN,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-vancouver-canucks-8hpaBVOD/,158,350
08-11-2023,TOR,OTT,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-ottawa-senators-tnhDmSW6/,-105,358
04-11-2023,OTT,TB,4,6,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-tampa-bay-lightning-40iXjtM1/,129,341
02-11-2023,OTT,LAK,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-los-angeles-kings-Ma4t1Qq9/,144,339
28-10-2023,PIT,OTT,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-ottawa-senators-zqtalm03/,108,353
26-10-2023,NYI,OTT,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-ottawa-senators-jeMZofv5/,125,332
24-10-2023,OTT,BUF,4,6,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-buffalo-sabres-jss1XfPB/,-119,368
21-10-2023,OTT,DET,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-detroit-red-wings-dKLRIeAI/,-103,351
18-10-2023,OTT,WSH,6,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-washington-capitals-G0lzTuYP/,-113,351
15-10-2023,OTT,TB,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-tampa-bay-lightning-tO5T90Rm/,114,346
14-10-2023,OTT,PHI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-philadelphia-flyers-OW6Agus7/,-111,343
11-10-2023,CAR,OTT,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-ottawa-senators-M7AgcNsr/,-116,338
07-10-2023,OTT,MTL,4,6,0,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-montreal-canadiens-xSUZRm74/,257,352
05-10-2023,WPG,OTT,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-ottawa-senators-z57Qi17p/,112,328
02-10-2023,PIT,OTT,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-ottawa-senators-bs1qN4Kq/,-119,344
01-10-2023,OTT,FLA,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-florida-panthers-WUFVFSeJ/,172,343
29-09-2023,OTT,WPG,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-winnipeg-jets-QVLfcNqN/,-196,380
27-09-2023,MTL,OTT,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/montreal-canadiens-ottawa-senators-byWVSTib/,-134,348
25-09-2023,TOR,OTT,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-ottawa-senators-t0yRT9xh/,-141,355
24-09-2023,OTT,TOR,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-toronto-maple-leafs-29xNUkNo/,112,334
13-04-2023,BUF,OTT,4,3,1,NHL_2022/2023,usa/nhl-2022-2023/buffalo-sabres-ottawa-senators-zwLdRa4f/,116,350
10-04-2023,OTT,CAR,3,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-carolina-hurricanes-l6Who0vT/,233,342
08-04-2023,OTT,TB,7,4,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-tampa-bay-lightning-x2kXkOPc/,181,337
06-04-2023,FLA,OTT,7,2,1,NHL_2022/2023,usa/nhl-2022-2023/florida-panthers-ottawa-senators-SzfMXtAT/,-147,383
04-04-2023,CAR,OTT,3,2,1,NHL_2022/2023,usa/nhl-2022-2023/carolina-hurricanes-ottawa-senators-zsVrKNuU/,-155,371
02-04-2023,CBJ,OTT,4,3,1,NHL_2022/2023,usa/nhl-2022-2023/columbus-blue-jackets-ottawa-senators-CvvOOoRb/,233,353
01-04-2023,OTT,TOR,0,3,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-toronto-maple-leafs-GCpFQ7dn/,204,347
30-03-2023,OTT,PHI,5,4,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-philadelphia-flyers-QT2g96RB/,-109,339
27-03-2023,OTT,FLA,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-florida-panthers-rm2E8Zz1/,188,355
25-03-2023,NJ,OTT,5,3,1,NHL_2022/2023,usa/nhl-2022-2023/new-jersey-devils-ottawa-senators-CbOVGcTK/,-123,354
23-03-2023,OTT,TB,7,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-tampa-bay-lightning-jToa3vaL/,165,340
21-03-2023,BOS,OTT,2,1,1,NHL_2022/2023,usa/nhl-2022-2023/boston-bruins-ottawa-senators-CO7MkLUL/,-192,402
20-03-2023,PIT,OTT,1,2,0,NHL_2022/2023,usa/nhl-2022-2023/pittsburgh-penguins-ottawa-senators-rqK9hNp3/,-104,348
18-03-2023,OTT,TOR,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-toronto-maple-leafs-C4quwroG/,172,342
16-03-2023,OTT,COL,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-colorado-avalanche-0zV5sT1L/,151,334
14-03-2023,EDM,OTT,6,3,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-ottawa-senators-YNk7MRPe/,-140,378
12-03-2023,CGY,OTT,5,1,1,NHL_2022/2023,usa/nhl-2022-2023/calgary-flames-ottawa-senators-ng8ygVPg/,-115,345
11-03-2023,VAN,OTT,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/vancouver-canucks-ottawa-senators-EuATfies/,163,343
09-03-2023,SEA,OTT,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/seattle-kraken-ottawa-senators-zuAEwjQ6/,120,339
06-03-2023,CHI,OTT,5,0,1,NHL_2022/2023,usa/nhl-2022-2023/chicago-blackhawks-ottawa-senators-rooyQWe7/,339,383
04-03-2023,OTT,CBJ,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-columbus-blue-jackets-Ymwvlqrc/,-175,404
02-03-2023,NYR,OTT,3,5,0,NHL_2022/2023,usa/nhl-2022-2023/new-york-rangers-ottawa-senators-U1iEXNcG/,-100,341
28-02-2023,OTT,DET,6,1,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-detroit-red-wings-bHLECMLj/,129,328
27-02-2023,OTT,DET,6,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-detroit-red-wings-t85vdSGE/,123,329
25-02-2023,MTL,OTT,2,5,0,NHL_2022/2023,usa/nhl-2022-2023/montreal-canadiens-ottawa-senators-MFCVM6qb/,213,345
24-02-2023,CAR,OTT,4,0,1,NHL_2022/2023,usa/nhl-2022-2023/carolina-hurricanes-ottawa-senators-SCg855EN/,-147,368
20-02-2023,BOS,OTT,3,1,1,NHL_2022/2023,usa/nhl-2022-2023/boston-bruins-ottawa-senators-KSRIfl05/,-217,419
19-02-2023,OTT,STL,7,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-st-louis-blues-GzV1bW0t/,-105,337
17-02-2023,OTT,CHI,3,4,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-chicago-blackhawks-hIRwfH9f/,-158,378
14-02-2023,NYI,OTT,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/new-york-islanders-ottawa-senators-EBvCuIf1/,-129,351
13-02-2023,OTT,CGY,4,3,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-calgary-flames-OMoarKAr/,209,324
11-02-2023,OTT,EDM,3,6,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-edmonton-oilers-WO6Kk2I8/,178,355
31-01-2023,MTL,OTT,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/montreal-canadiens-ottawa-senators-lSakWh0j/,265,328
28-01-2023,OTT,MTL,5,0,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-montreal-canadiens-S0T7tU4E/,-130,364
27-01-2023,TOR,OTT,2,6,0,NHL_2022/2023,usa/nhl-2022-2023/toronto-maple-leafs-ottawa-senators-OWxIJ6c1/,-121,335
25-01-2023,OTT,NYI,2,1,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-new-york-islanders-tWkRTjL8/,130,305
21-01-2023,OTT,WPG,1,5,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-winnipeg-jets-QegjSwp4/,185,340
20-01-2023,PIT,OTT,4,1,1,NHL_2022/2023,usa/nhl-2022-2023/pittsburgh-penguins-ottawa-senators-4j8e6dNp/,101,326
18-01-2023,OTT,PIT,5,4,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-pittsburgh-penguins-hjDFF00b/,136,327
16-01-2023,STL,OTT,2,1,1,NHL_2022/2023,usa/nhl-2022-2023/st-louis-blues-ottawa-senators-ptnmLvNU/,149,305
14-01-2023,COL,OTT,7,0,1,NHL_2022/2023,usa/nhl-2022-2023/colorado-avalanche-ottawa-senators-SQrGS4Ot/,-104,339
12-01-2023,ARI,OTT,3,5,0,NHL_2022/2023,usa/nhl-2022-2023/arizona-coyotes-ottawa-senators-xdGgB3g6/,205,334
09-01-2023,OTT,NSH,0,3,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-nashville-predators-GM330nul/,129,325
07-01-2023,OTT,SEA,4,8,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-seattle-kraken-fuPvbgJk/,136,324
03-01-2023,OTT,CBJ,4,0,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-columbus-blue-jackets-AmLMiIdG/,-136,358
01-01-2023,OTT,BUF,3,1,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-buffalo-sabres-GQLIhbsA/,127,334
31-12-2022,DET,OTT,4,2,1,NHL_2022/2023,usa/nhl-2022-2023/detroit-red-wings-ottawa-senators-t8T5e0ci/,166,333
29-12-2022,WSH,OTT,3,4,0,NHL_2022/2023,usa/nhl-2022-2023/washington-capitals-ottawa-senators-rD1uuuDA/,-115,336
27-12-2022,OTT,BOS,3,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-boston-bruins-raM6QubH/,247,347
22-12-2022,OTT,WSH,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-washington-capitals-EJUkUNbh/,170,327
20-12-2022,WPG,OTT,5,1,1,NHL_2022/2023,usa/nhl-2022-2023/winnipeg-jets-ottawa-senators-8M9UQlh0/,117,329
18-12-2022,MIN,OTT,4,2,1,NHL_2022/2023,usa/nhl-2022-2023/minnesota-wild-ottawa-senators-Y9raB9hD/,-125,343
17-12-2022,DET,OTT,3,6,0,NHL_2022/2023,usa/nhl-2022-2023/detroit-red-wings-ottawa-senators-QwhvGXwr/,142,319
14-12-2022,OTT,MTL,3,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-montreal-canadiens-OdG90hve/,-130,354
12-12-2022,OTT,ANA,3,0,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-anaheim-ducks-fywR8GWE/,-139,373
10-12-2022,NSH,OTT,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/nashville-predators-ottawa-senators-dM6Q4nEq/,114,332
08-12-2022,DAL,OTT,4,3,1,NHL_2022/2023,usa/nhl-2022-2023/dallas-stars-ottawa-senators-6y0gCUL9/,-133,366
06-12-2022,OTT,LAK,2,5,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-los-angeles-kings-lrfEBcVb/,141,336
03-12-2022,OTT,SJ,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-san-jose-sharks-UXwucbG5/,110,335
02-12-2022,NYR,OTT,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/new-york-rangers-ottawa-senators-rHyTa0Wn/,-121,353
30-11-2022,OTT,NYR,1,3,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-new-york-rangers-xvF1qun6/,136,330
27-11-2022,LAK,OTT,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/los-angeles-kings-ottawa-senators-jDBvUanJ/,-102,334
25-11-2022,ANA,OTT,1,5,0,NHL_2022/2023,usa/nhl-2022-2023/anaheim-ducks-ottawa-senators-UZvquQfK/,189,335
23-11-2022,VGK,OTT,4,1,1,NHL_2022/2023,usa/nhl-2022-2023/vegas-golden-knights-ottawa-senators-8UglJrY0/,-146,378
21-11-2022,SJ,OTT,5,1,1,NHL_2022/2023,usa/nhl-2022-2023/san-jose-sharks-ottawa-senators-00b9IBsj/,148,328
19-11-2022,OTT,NJ,1,5,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-new-jersey-devils-dfh2QV4m/,176,343
16-11-2022,OTT,BUF,4,1,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-buffalo-sabres-jatWNxqk/,102,347
14-11-2022,OTT,NYI,2,4,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-new-york-islanders-jy2mW0y9/,155,323
12-11-2022,PHI,OTT,1,4,0,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-ottawa-senators-4vtIGLyM/,155,332
10-11-2022,NJ,OTT,4,3,1,NHL_2022/2023,usa/nhl-2022-2023/new-jersey-devils-ottawa-senators-bswAIs79/,-118,353
08-11-2022,OTT,VAN,4,6,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-vancouver-canucks-INHz4rhG/,124,344
05-11-2022,OTT,PHI,1,2,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-philadelphia-flyers-h6F9kqwN/,-109,343
03-11-2022,OTT,VGK,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-vegas-golden-knights-4nEYmW1I/,194,337
01-11-2022,TB,OTT,4,3,1,NHL_2022/2023,usa/nhl-2022-2023/tampa-bay-lightning-ottawa-senators-0lY8gzYt/,-122,354
29-10-2022,FLA,OTT,5,3,1,NHL_2022/2023,usa/nhl-2022-2023/florida-panthers-ottawa-senators-d2nqwFm0/,-118,361
27-10-2022,OTT,MIN,2,4,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-minnesota-wild-fZPDNZmD/,157,340
24-10-2022,OTT,DAL,4,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-dallas-stars-dISLZus8/,144,328
22-10-2022,OTT,ARI,6,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-arizona-coyotes-jL5OUVwq/,-163,384
20-10-2022,OTT,WSH,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-washington-capitals-SOPfFjvd/,136,329
18-10-2022,OTT,BOS,7,5,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-boston-bruins-rZE9z1A4/,124,324
15-10-2022,TOR,OTT,3,2,1,NHL_2022/2023,usa/nhl-2022-2023/toronto-maple-leafs-ottawa-senators-4rfzM1eB/,-143,381
13-10-2022,BUF,OTT,4,1,1,NHL_2022/2023,usa/nhl-2022-2023/buffalo-sabres-ottawa-senators-jT1NmM8l/,152,331
08-10-2022,OTT,MTL,3,2,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-montreal-canadiens-SKNZz9WB/,140,329
06-10-2022,MTL,OTT,3,4,0,NHL_2022/2023,usa/nhl-2022-2023/montreal-canadiens-ottawa-senators-4IWEuXHt/,188,357
04-10-2022,MTL,OTT,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/montreal-canadiens-ottawa-senators-CpRbZee7/,228,334
01-10-2022,OTT,MTL,5,4,1,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-montreal-canadiens-nLYCr0YK/,101,322
30-09-2022,OTT,TOR,3,6,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-toronto-maple-leafs-jgu4pM38/,-121,336
27-09-2022,WPG,OTT,5,3,1,NHL_2022/2023,usa/nhl-2022-2023/winnipeg-jets-ottawa-senators-YH8wU0JR/,-120,340
24-09-2022,TOR,OTT,2,4,0,NHL_2022/2023,usa/nhl-2022-2023/toronto-maple-leafs-ottawa-senators-QgCsAuSe/,100,319
24-09-2022,TOR,OTT,4,1,1,NHL_2022/2023,usa/nhl-2022-2023/toronto-maple-leafs-ottawa-senators-WWCwBLCk/,108,343
29-04-2022,PHI,OTT,2,4,0,NHL_2021/2022,usa/nhl-2021-2022/philadelphia-flyers-ottawa-senators-WYaXfM0o/,149,329
28-04-2022,OTT,FLA,0,4,0,NHL_2021/2022,usa/nhl-2021-2022/ottawa-senators-florida-panthers-QXWAwLVA/,208,368
26-04-2022,OTT,NJ,5,4,1,NHL_2021/2022,usa/nhl-2021-2022/ottawa-senators-new-jersey-devils-WG8nwiKU/,103,338
