date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
12-10-2024,EDM,CHI,2,5,0,NHL,usa/nhl/edmonton-oilers-chicago-blackhawks-2oUGzkfU/#home-away;1,-354,280
09-10-2024,EDM,WPG,0,6,0,NHL,usa/nhl/edmonton-oilers-winnipeg-jets-I1n0vCw8/#home-away;1,-185,155
04-10-2024,VAN,EDM,4,1,1,NHL,usa/nhl/vancouver-canucks-edmonton-oilers-bPiNThq4/#home-away;1,-115,-108
02-10-2024,SEA,EDM,6,2,1,NHL,usa/nhl/seattle-kraken-edmonton-oilers-0d0tk3RG/#home-away;1,135,-162
30-09-2024,EDM,VAN,3,2,1,NHL,usa/nhl/edmonton-oilers-vancouver-canucks-C8gFVEEi/#home-away;1,-315,245
28-09-2024,EDM,SEA,5,4,1,NHL,usa/nhl/edmonton-oilers-seattle-kraken-vDAKlTl2/#home-away;1,-278,217
25-09-2024,WPG,EDM,6,1,1,NHL,usa/nhl/winnipeg-jets-edmonton-oilers-fiP9VoBU/#home-away;1,-298,231
23-09-2024,CGY,EDM,6,1,1,NHL,usa/nhl/calgary-flames-edmonton-oilers-fVwzcVOE/#home-away;1,104,-149
22-09-2024,EDM,WPG,3,2,1,NHL,usa/nhl/edmonton-oilers-winnipeg-jets-bPV0X7tI/#home-away;1,-165,134
24-06-2024,FLA,EDM,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-ro9gcXlC/#home-away;1,-108,-110
21-06-2024,EDM,FLA,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-h4AMJeNH/#home-away;1,-120,100
18-06-2024,FLA,EDM,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-Qo6jnIyh/#home-away;1,-159,135
15-06-2024,EDM,FLA,8,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-lhmVlZPk/#home-away;1,-120,101
13-06-2024,EDM,FLA,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-I9dafe2S/#home-away;1,-141,120
10-06-2024,FLA,EDM,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-df8jdHXF/#home-away;1,-122,103
08-06-2024,FLA,EDM,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-jc5rbw33/#home-away;1,-145,123
02-06-2024,EDM,DAL,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-8YcOfvqo/#home-away;1,-136,116
31-05-2024,DAL,EDM,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-vLKhPvx9/#home-away;1,-123,104
29-05-2024,EDM,DAL,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-GYZ6qwQj/#home-away;1,-135,116
27-05-2024,EDM,DAL,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-W0bzka2T/#home-away;1,-122,104
25-05-2024,DAL,EDM,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-OzeSjLXG/#home-away;1,-135,115
23-05-2024,DAL,EDM,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-S81Jhs34/#home-away;1,-128,109
20-05-2024,VAN,EDM,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-jsVzT6qT/#home-away;1,125,-146
18-05-2024,EDM,VAN,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-QJRpfL6b/#home-away;1,-189,161
16-05-2024,VAN,EDM,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-2DUxfLeC/#home-away;1,123,-143
14-05-2024,EDM,VAN,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-6yQyZZAd/#home-away;1,-208,177
12-05-2024,EDM,VAN,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-bBMTzdtp/#home-away;1,-206,173
10-05-2024,VAN,EDM,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-EwoctIIM/#home-away;1,120,-141
08-05-2024,VAN,EDM,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-b3vbVeFk/#home-away;1,114,-134
01-05-2024,EDM,LA,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-IoxjYs7T/#home-away;1,-193,165
28-04-2024,LA,EDM,0,1,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-edmonton-oilers-jPmWyLAk/#home-away;1,143,-165
26-04-2024,LA,EDM,1,6,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-edmonton-oilers-Ktc0ssmS/#home-away;1,127,-148
24-04-2024,EDM,LA,4,5,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-bR8iq3IF/#home-away;1,-187,160
22-04-2024,EDM,LA,7,4,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-j15qoPm3/#home-away;1,-174,149
18-04-2024,COL,EDM,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/colorado-avalanche-edmonton-oilers-dnjQjOy8/#home-away;1,-265,220
17-04-2024,ARI,EDM,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-edmonton-oilers-AVmEgQik/#home-away;1,145,-168
15-04-2024,EDM,SJ,9,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-san-jose-sharks-zaOliXVj/#home-away;1,-568,428
13-04-2024,EDM,VAN,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-pUqAbFwH/#home-away;1,-113,-104
12-04-2024,EDM,ARI,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-arizona-coyotes-2olk3wPo/#home-away;1,-275,228
10-04-2024,EDM,VGK,5,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-vegas-golden-knights-zHHKmbPb/#home-away;1,-109,-107
06-04-2024,CGY,EDM,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-edmonton-oilers-neaYy1Qn/#home-away;1,145,-168
05-04-2024,EDM,COL,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-colorado-avalanche-Ct9NJJAI/#home-away;1,-140,121
03-04-2024,DAL,EDM,5,0,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-CpqBvuUf/#home-away;1,-126,108
30-03-2024,EDM,ANA,6,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-anaheim-ducks-MFEzKDnB/#home-away;1,-610,448
28-03-2024,EDM,LA,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-EkBSLZHb/#home-away;1,-162,140
26-03-2024,WPG,EDM,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-edmonton-oilers-dhPd8Gma/#home-away;1,116,-136
24-03-2024,OTT,EDM,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/ottawa-senators-edmonton-oilers-renziFIO/#home-away;1,167,-195
23-03-2024,TOR,EDM,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-edmonton-oilers-EFfJfcJa/#home-away;1,122,-141
21-03-2024,EDM,BUF,8,3,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-buffalo-sabres-rRKv2uRP/#home-away;1,-235,198
19-03-2024,EDM,MTL,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-montreal-canadiens-t2ztsvk0/#home-away;1,-400,322
16-03-2024,EDM,COL,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-colorado-avalanche-hrZ4uRDe/#home-away;1,-129,110
13-03-2024,EDM,WSH,7,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-washington-capitals-fDYVSmUk/#home-away;1,-307,252
10-03-2024,PIT,EDM,0,4,0,NHL_2023/2024,usa/nhl-2023-2024/pittsburgh-penguins-edmonton-oilers-Eg1vwYic/#home-away;1,140,-161
09-03-2024,BUF,EDM,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-edmonton-oilers-Eky8qhaN/#home-away;1,156,-178
07-03-2024,CBJ,EDM,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/columbus-blue-jackets-edmonton-oilers-SYlnlGph/#home-away;1,239,-292
05-03-2024,BOS,EDM,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/boston-bruins-edmonton-oilers-2XEDZGVb/#home-away;1,119,-138
03-03-2024,EDM,PIT,6,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-pittsburgh-penguins-GGC1xJot/#home-away;1,-194,164
02-03-2024,SEA,EDM,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-edmonton-oilers-bsJyQuF1/#home-away;1,140,-163
26-02-2024,EDM,LA,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-los-angeles-kings-IsUEXWGA/#home-away;1,-161,137
24-02-2024,EDM,CGY,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-calgary-flames-A3ihkmC2/#home-away;1,-183,154
23-02-2024,EDM,MIN,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-minnesota-wild-p84WXosS/#home-away;1,-182,154
21-02-2024,EDM,BOS,5,6,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-boston-bruins-MTVOE6zj/#home-away;1,-139,119
19-02-2024,ARI,EDM,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/arizona-coyotes-edmonton-oilers-nmaTPWri/#home-away;1,229,-280
17-02-2024,DAL,EDM,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-edmonton-oilers-bTchOJ7n/#home-away;1,-125,105
13-02-2024,EDM,DET,8,4,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-detroit-red-wings-6eETPBRg/#home-away;1,-229,192
10-02-2024,LA,EDM,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-edmonton-oilers-hhlfBCC0/#home-away;1,109,-129
09-02-2024,ANA,EDM,3,5,0,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-edmonton-oilers-EwB7KGkE/#home-away;1,230,-280
06-02-2024,VGK,EDM,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/vegas-golden-knights-edmonton-oilers-8tz8aFDl/#home-away;1,129,-150
27-01-2024,EDM,NSH,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-nashville-predators-vmJd6QU3/#home-away;1,-222,186
25-01-2024,EDM,CHI,3,0,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-chicago-blackhawks-pQJh76Fc/#home-away;1,-645,461
23-01-2024,EDM,CBJ,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-columbus-blue-jackets-xKdRjoVG/#home-away;1,-374,298
20-01-2024,CGY,EDM,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-edmonton-oilers-4Si1862d/#home-away;1,156,-183
18-01-2024,EDM,SEA,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-seattle-kraken-KzEIGUfG/#home-away;1,-226,189
16-01-2024,EDM,TOR,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-toronto-maple-leafs-jeM1KCei/#home-away;1,-162,138
13-01-2024,MTL,EDM,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/montreal-canadiens-edmonton-oilers-ITrL7ZBo/#home-away;1,208,-248
11-01-2024,DET,EDM,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-edmonton-oilers-vNeggzch/#home-away;1,143,-166
09-01-2024,CHI,EDM,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/chicago-blackhawks-edmonton-oilers-UBSzygsO/#home-away;1,352,-455
06-01-2024,EDM,OTT,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-ottawa-senators-ATS7swbt/#home-away;1,-212,180
02-01-2024,EDM,PHI,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-philadelphia-flyers-lG95P4xe/#home-away;1,-180,154
31-12-2023,ANA,EDM,2,7,0,NHL_2023/2024,usa/nhl-2023-2024/anaheim-ducks-edmonton-oilers-QH4QY8F8/#home-away;1,183,-216
30-12-2023,LA,EDM,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/los-angeles-kings-edmonton-oilers-0GWXSIRk/#home-away;1,-117,100
28-12-2023,SJ,EDM,0,5,0,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-edmonton-oilers-S8qoxN43/#home-away;1,342,-442
22-12-2023,NYR,EDM,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/new-york-rangers-edmonton-oilers-pQsH1tTj/#home-away;1,-124,105
21-12-2023,NJ,EDM,3,6,0,NHL_2023/2024,usa/nhl-2023-2024/new-jersey-devils-edmonton-oilers-tlTWMjaa/#home-away;1,-105,-113
19-12-2023,NYI,EDM,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/new-york-islanders-edmonton-oilers-0zeA5kUO/#home-away;1,128,-150
16-12-2023,EDM,FLA,1,5,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-florida-panthers-SfpN2Df1/#home-away;1,-145,125
14-12-2023,EDM,TB,4,7,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-tampa-bay-lightning-YX8RDw32/#home-away;1,-176,150
12-12-2023,EDM,CHI,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-chicago-blackhawks-OMcmD6Ci/#home-away;1,-495,383
10-12-2023,EDM,NJ,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-new-jersey-devils-xQkKDIo5/#home-away;1,-152,132
08-12-2023,EDM,MIN,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-minnesota-wild-ILIgcc1O/#home-away;1,-189,163
06-12-2023,EDM,CAR,6,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-carolina-hurricanes-UwBy31Xn/#home-away;1,-114,-103
30-11-2023,WPG,EDM,1,3,0,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-edmonton-oilers-WU3xYtYC/#home-away;1,-100,-117
28-11-2023,EDM,VGK,5,4,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-vegas-golden-knights-pEHGx5Js/#home-away;1,-146,125
26-11-2023,EDM,ANA,8,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-anaheim-ducks-MeEhYkSe/#home-away;1,-291,240
24-11-2023,WSH,EDM,0,5,0,NHL_2023/2024,usa/nhl-2023-2024/washington-capitals-edmonton-oilers-6kJEMhTq/#home-away;1,126,-144
22-11-2023,CAR,EDM,6,3,1,NHL_2023/2024,usa/nhl-2023-2024/carolina-hurricanes-edmonton-oilers-8fySVd6c/#home-away;1,-146,126
20-11-2023,FLA,EDM,5,3,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-edmonton-oilers-Eefy9Zbp/#home-away;1,-115,-102
18-11-2023,TB,EDM,6,4,1,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-edmonton-oilers-zsHlIwxb/#home-away;1,113,-133
15-11-2023,EDM,SEA,4,3,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-seattle-kraken-zTyG3vN4/#home-away;1,-188,162
13-11-2023,EDM,NYI,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-new-york-islanders-pvq36twn/#home-away;1,-159,138
11-11-2023,SEA,EDM,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-edmonton-oilers-69siaPVI/#home-away;1,119,-139
09-11-2023,SJ,EDM,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/san-jose-sharks-edmonton-oilers-U7Y799gQ/#home-away;1,280,-345
06-11-2023,VAN,EDM,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-EZ0diAXs/#home-away;1,-106,-110
04-11-2023,EDM,NSH,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-nashville-predators-WYwQh2ik/#home-away;1,-189,163
02-11-2023,EDM,DAL,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-dallas-stars-vyao0paF/#home-away;1,-156,138
29-10-2023,EDM,CGY,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-calgary-flames-r9q7nRUF/#home-away;1,-157,136
26-10-2023,EDM,NYR,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-new-york-rangers-OnwCS5wp/#home-away;1,108,-126
24-10-2023,MIN,EDM,7,4,1,NHL_2023/2024,usa/nhl-2023-2024/minnesota-wild-edmonton-oilers-QaZDUh9U/#home-away;1,-109,-108
21-10-2023,EDM,WPG,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-winnipeg-jets-M1kpywQn/#home-away;1,-166,144
19-10-2023,PHI,EDM,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/philadelphia-flyers-edmonton-oilers-SvUAMwBg/#home-away;1,167,-197
17-10-2023,NSH,EDM,1,6,0,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-edmonton-oilers-lfdl5xtJ/#home-away;1,120,-137
14-10-2023,EDM,VAN,3,4,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-E1ZWAtCs/#home-away;1,-219,187
11-10-2023,VAN,EDM,8,1,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-fc26fLR0/#home-away;1,133,-153
06-10-2023,EDM,SEA,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-seattle-kraken-jD7Cpp0H/#home-away;1,-226,179
04-10-2023,EDM,CGY,7,2,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-calgary-flames-Mw38oQpB/#home-away;1,-364,300
02-10-2023,SEA,EDM,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-edmonton-oilers-rm44n6V4/#home-away;1,-164,134
30-09-2023,VAN,EDM,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-edmonton-oilers-0OEamnGb/#home-away;1,-200,163
29-09-2023,CGY,EDM,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-edmonton-oilers-nLAelS0h/#home-away;1,-328,254
27-09-2023,EDM,VAN,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-vancouver-canucks-hbBik8on/#home-away;1,-333,259
25-09-2023,WPG,EDM,5,0,1,NHL_2023/2024,usa/nhl-2023-2024/winnipeg-jets-edmonton-oilers-E7CmjlWu/#home-away;1,-296,230
24-09-2023,EDM,WPG,1,2,0,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-winnipeg-jets-4n4kV40U/#home-away;1,-146,120
14-05-2023,EDM,VGK,2,5,0,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-vegas-golden-knights-tIC39mm8/#home-away;1,-190,164
12-05-2023,VGK,EDM,4,3,1,NHL_2022/2023,usa/nhl-2022-2023/vegas-golden-knights-edmonton-oilers-nmezDKOT/#home-away;1,115,-135
10-05-2023,EDM,VGK,4,1,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-vegas-golden-knights-MyzNPDw4/#home-away;1,-189,163
08-05-2023,EDM,VGK,1,5,0,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-vegas-golden-knights-vDpIQgOc/#home-away;1,-185,160
06-05-2023,VGK,EDM,1,5,0,NHL_2022/2023,usa/nhl-2022-2023/vegas-golden-knights-edmonton-oilers-ncrMVo51/#home-away;1,110,-129
03-05-2023,VGK,EDM,6,4,1,NHL_2022/2023,usa/nhl-2022-2023/vegas-golden-knights-edmonton-oilers-ULmHWRke/#home-away;1,104,-122
29-04-2023,LA,EDM,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/los-angeles-kings-edmonton-oilers-46bQVrjp/#home-away;1,143,-165
25-04-2023,EDM,LA,6,3,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-los-angeles-kings-MTkeQHbo/#home-away;1,-233,198
23-04-2023,LA,EDM,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/los-angeles-kings-edmonton-oilers-vJaM8aGe/#home-away;1,159,-185
21-04-2023,LA,EDM,3,2,1,NHL_2022/2023,usa/nhl-2022-2023/los-angeles-kings-edmonton-oilers-pd0I9u1k/#home-away;1,132,-152
19-04-2023,EDM,LA,4,2,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-los-angeles-kings-zkoIHtK0/#home-away;1,-246,206
17-04-2023,EDM,LA,3,4,0,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-los-angeles-kings-f3BMDVDr/#home-away;1,-207,176
13-04-2023,EDM,SJ,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-san-jose-sharks-Ob1imsRD/#home-away;1,-545,417
11-04-2023,COL,EDM,1,2,0,NHL_2022/2023,usa/nhl-2022-2023/colorado-avalanche-edmonton-oilers-fL4GoUk9/#home-away;1,-105,-111
08-04-2023,SJ,EDM,1,6,0,NHL_2022/2023,usa/nhl-2022-2023/san-jose-sharks-edmonton-oilers-OboTj4Ai/#home-away;1,239,-290
05-04-2023,ANA,EDM,1,3,0,NHL_2022/2023,usa/nhl-2022-2023/anaheim-ducks-edmonton-oilers-fNeEZ2uH/#home-away;1,278,-343
04-04-2023,LA,EDM,1,3,0,NHL_2022/2023,usa/nhl-2022-2023/los-angeles-kings-edmonton-oilers-K431x5eb/#home-away;1,121,-141
01-04-2023,EDM,ANA,6,0,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-anaheim-ducks-byzKPRBh/#home-away;1,-513,398
30-03-2023,EDM,LA,2,0,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-los-angeles-kings-vX6c8QtI/#home-away;1,-177,154
28-03-2023,VGK,EDM,4,7,0,NHL_2022/2023,usa/nhl-2022-2023/vegas-golden-knights-edmonton-oilers-dlBxDlSn/#home-away;1,-106,-110
27-03-2023,ARI,EDM,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/arizona-coyotes-edmonton-oilers-CM6I7gj7/#home-away;1,260,-319
25-03-2023,EDM,VGK,3,4,0,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-vegas-golden-knights-jkNZFHrR/#home-away;1,-194,167
22-03-2023,EDM,ARI,4,3,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-arizona-coyotes-KUUm6tF2/#home-away;1,-513,395
20-03-2023,EDM,SJ,5,4,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-san-jose-sharks-Q79Eis09/#home-away;1,-326,264
18-03-2023,SEA,EDM,4,6,0,NHL_2022/2023,usa/nhl-2022-2023/seattle-kraken-edmonton-oilers-UufzvOV9/#home-away;1,119,-138
16-03-2023,EDM,DAL,4,1,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-dallas-stars-dKVzx7Pr/#home-away;1,-160,139
14-03-2023,EDM,OTT,6,3,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-ottawa-senators-YNk7MRPe/#home-away;1,-215,181
11-03-2023,TOR,EDM,7,4,1,NHL_2022/2023,usa/nhl-2022-2023/toronto-maple-leafs-edmonton-oilers-O0j9aXnQ/#home-away;1,-123,106
09-03-2023,BOS,EDM,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/boston-bruins-edmonton-oilers-SE66uCef/#home-away;1,-155,134
06-03-2023,BUF,EDM,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/buffalo-sabres-edmonton-oilers-hdhOSYBl/#home-away;1,138,-160
04-03-2023,WPG,EDM,7,5,1,NHL_2022/2023,usa/nhl-2022-2023/winnipeg-jets-edmonton-oilers-UFWnnNC9/#home-away;1,102,-119
03-03-2023,EDM,WPG,6,3,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-winnipeg-jets-tfjhQujj/#home-away;1,-172,149
01-03-2023,EDM,TOR,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-toronto-maple-leafs-nw29Y3rA/#home-away;1,-103,-115
27-02-2023,EDM,BOS,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-boston-bruins-pEHAD26p/#home-away;1,108,-126
25-02-2023,CBJ,EDM,6,5,1,NHL_2022/2023,usa/nhl-2022-2023/columbus-blue-jackets-edmonton-oilers-viNQNnUi/#home-away;1,208,-247
23-02-2023,PIT,EDM,2,7,0,NHL_2022/2023,usa/nhl-2022-2023/pittsburgh-penguins-edmonton-oilers-rPid87U4/#home-away;1,-108,-107
21-02-2023,EDM,PHI,4,2,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-philadelphia-flyers-hzaqB9pn/#home-away;1,-333,269
19-02-2023,COL,EDM,6,5,1,NHL_2022/2023,usa/nhl-2022-2023/colorado-avalanche-edmonton-oilers-YBP6cjGn/#home-away;1,-103,-114
17-02-2023,EDM,NYR,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-new-york-rangers-W8QsgyP0/#home-away;1,-136,118
15-02-2023,EDM,DET,4,5,0,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-detroit-red-wings-Wpre2u2E/#home-away;1,-242,204
12-02-2023,MTL,EDM,6,2,1,NHL_2022/2023,usa/nhl-2022-2023/montreal-canadiens-edmonton-oilers-MDaXn02R/#home-away;1,235,-282
11-02-2023,OTT,EDM,3,6,0,NHL_2022/2023,usa/nhl-2022-2023/ottawa-senators-edmonton-oilers-WO6Kk2I8/#home-away;1,125,-146
09-02-2023,PHI,EDM,2,1,1,NHL_2022/2023,usa/nhl-2022-2023/philadelphia-flyers-edmonton-oilers-EZGjzNIL/#home-away;1,164,-190
07-02-2023,DET,EDM,2,5,0,NHL_2022/2023,usa/nhl-2022-2023/detroit-red-wings-edmonton-oilers-hKSsxql9/#home-away;1,147,-170
28-01-2023,EDM,CHI,7,3,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-chicago-blackhawks-lGHGv8ZQ/#home-away;1,-429,342
25-01-2023,EDM,CBJ,2,3,0,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-columbus-blue-jackets-Ec3YRUkL/#home-away;1,-392,316
21-01-2023,VAN,EDM,2,4,0,NHL_2022/2023,usa/nhl-2022-2023/vancouver-canucks-edmonton-oilers-KIhfRcaA/#home-away;1,169,-200
19-01-2023,EDM,TB,5,3,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-tampa-bay-lightning-2sMTAxFT/#home-away;1,-123,105
17-01-2023,EDM,SEA,5,2,1,NHL_2022/2023,usa/nhl-2022-2023/edmonton-oilers-seattle-kraken-EaEBGtoh/#home-away;1,-179,155
